,quote_id,author_clean,author_alt_name,author_raw,quote,quote_words,race,gender,gender_source,race_source,google_hits,log10_hits,to_sample
7162,jstet_438677,A. A. Milne,,A. A. Milne,You can't stay in your corner of the forest waiting for others to come to you. You have to go to them sometimes.,24,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7177,jstet_3052,A. A. Milne,,A.A. Milne,One of the advantages of being disorganized is that one is always having surprising discoveries.,15,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7164,jstet_477997,A. A. Milne,,A. A. Milne,"Weeds are flowers too, once you get to know them.",10,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7178,jstet_5649,A. A. Milne,,A.A. Milne,You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,24,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7161,jstet_425747,A. A. Milne,,A. A. Milne,Almost anyone can be an author the business is to collect money and fame from this state of being.,19,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7175,jstet_196,A. A. Milne,,A.A. Milne,"How do you spell 'love'?"" - Piglet""You don't spell it...you feel it."" - Pooh",15,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7176,jstet_210,A. A. Milne,,A.A. Milne,"Promise me you'll never forget me because if I thought you would, I'd never leave.",17,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7163,jstet_450966,A. A. Milne,,A. A. Milne,"Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.",22,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7160,jstet_403286,A. A. Milne,,A. A. Milne,If there ever comes a day when we can't be together keep me in your heart I'll stay there forever.,22,white,male,wikidata,wikidata,3570000.0,6.552668216112194,9
7166,jstet_486588,A. Bartlett Giamatti,,A. Bartlett Giamatti,"A liberal education is at the heart of a civil society, and at the heart of a liberal education is the act of teaching.",24,white,male,wikidata,llm,89200.0,4.950364854376123,1
7167,jstet_414960,A. Eustace Haydon,,A. Eustace Haydon,Fortunately for serious minds a bias recognized is a bias sterilized.,11,white,male,wikidata,llm,5780.0,3.761927838420529,1
7170,jstet_422200,A. J. Cronin,,A. J. Cronin,Worry never robs tomorrow of its sorrow but only saps today of its strength.,14,white,male,wikidata,llm,233000.0,5.367355921026019,1
7171,jstet_488751,A. J. Muste,,A. J. Muste,There is no way to peace peace is the way.,10,white,male,wikidata,llm,74900.0,4.874481817699467,1
4680,jstet_369179,A. Manette Ansay,,A. Manette Ansay,"It is a lonely thing, remembering for someone else.",9,white,female,wikidata,llm,293000.0,5.466867620354109,1
7172,jstet_149930,A. Nicholas Groth,,A. Nicholas Groth,"When a person feels powerless in regard to controlling his life, he can defend against the discomfort of such an experience by asserting control over someone else.",27,white,male,llm,llm,7340.0,3.865696059916071,1
2454,jstet_498162,A. Philip Randolph,,A. Philip Randolph,Freedom is never granted it is won.,7,black,male,wikidata,llm,242000.0,5.383815365980431,4
2455,jstet_498209,A. Philip Randolph,,A. Philip Randolph,Freedom is never given it is won.,7,black,male,wikidata,llm,242000.0,5.383815365980431,4
2453,jstet_474343,A. Philip Randolph,,A. Philip Randolph,Patriotism has no appeal to us justice has. Party has no weight with us principle has. Loyalty is meaningless it depends on what one is loyal to.,27,black,male,wikidata,llm,242000.0,5.383815365980431,4
2452,jstet_468935,A. Philip Randolph,,A. Philip Randolph,"In every truth, the beneficiaries of a system cannot be expected to destroy it.",14,black,male,wikidata,llm,242000.0,5.383815365980431,4
7173,jstet_212859,A. Powell Davies,,A. Powell Davies,"Life must have its sacred moments and its holy places. We need the infinite, the limitless, the uttermost -- all that can give the heart a deep and strengthening peace.",29,white,male,wikidata,llm,11900.0,4.075546961392531,1
7174,jstet_414570,A. W. Pink,,A. W. Pink,Most Christians expect little from God ask little and therefore receive little and are content with little.,17,white,male,wikidata,llm,177000.0,5.247973266361806,1
7184,jstet_318705,A.C. Grayling,,A.C. Grayling,"It is always a mistake to underestimate how long it takes for mankind to understand the traumas it has suffered, especially the self-inflicted ones.",25,white,male,wikidata,llm,249000.0,5.396199347095736,2
7181,jstet_151864,A.C. Grayling,,A.C. Grayling,"Just as modern motorways have no room for ox-carts or wandering pedestrians, so modern society has little place for lives and ways that are too eccentric.",27,white,male,wikidata,llm,249000.0,5.396199347095736,2
7185,jstet_219094,A.E. Taylor,,A.E.  Taylor,It's never too late to achieve your dreams,9,white,male,llm,llm,88300.0,4.945960703577569,1
2456,jstet_20251,A.G. Gaston,,A.G. Gaston,Never spit in a lion's face when you've got your hand in his mouth.,16,black,male,llm,llm,36200.0,4.558709,1
7188,jstet_292950,A.J. DeJong,,A.J. DeJong,There’s no fool​like an illiterate fool.,8,white,male,llm,llm,3210.0,3.506505032404872,1
4681,jstet_52625,A.L. Michael,,A.L. Michael,You stayed because you’d invested so much time in your relationship that it would be a waste to walk away.,21,white,female,llm,llm,125000.0,5.096910013008056,1
7189,jstet_316411,A.R. Braun,,A.R. Braun,"I know mine own!""--Walter Emmett Velvet, the Antichrist",9,white,male,llm,llm,56000.0,4.748188027006201,1
7192,jstet_325243,A.V. Roe,,A.V. Roe,Gravity is a myth. In reality the earth sucks.,9,white,male,llm,llm,79900.0,4.902546779313991,4
7193,jstet_327320,A.V. Roe,,A.V. Roe,I don't believe love or sexual pleasure is a zero-sum game.,13,white,male,llm,llm,79900.0,4.902546779313991,4
7191,jstet_325152,A.V. Roe,,A.V. Roe,"And her lips: so inviting, bathed in shimmering wet, dark red gloss. They were meant for only two things, kissing and making love to your cock.",26,white,male,llm,llm,79900.0,4.902546779313991,4
7190,jstet_276993,A.V. Roe,,A.V. Roe,The knowledge that life is finite was always in the back of my mind.,14,white,male,llm,llm,79900.0,4.902546779313991,4
7194,jstet_363543,Aaron Burr Jr.,,Aaron Burr Jr.,To the union of all honest men.,7,white,male,wikidata,llm,17300.0,4.238046103128795,1
7195,jstet_183416,Aaron Carter,,Aaron Carter,"Having a dream, living that dream, losing that dream, dreaming again and then having that dream come true again is one of the greatest feelings ever because I`m stronger.",30,white,male,wikidata,llm,1220000.0,6.086359830674748,1
7196,jstet_234923,Aaron Crabill,,Aaron Crabill,You’d have been scared too if that big troglodyte had put his hands on you. He smelled like dirty socks and store brand cola.” Chet Andrews,27,white,male,llm,llm,1730.0,3.2380461031287955,1
7197,jstet_234084,Aaron Dries,,Aaron Dries,This isn’t how things were supposed to happen. I was supposed to be me. Not this.,17,white,male,llm,llm,28400.0,4.453318340047038,1
7198,jstet_437988,Aaron Huey,,Aaron Huey,Your belief system saturates the space around you.,8,white,male,wikidata,llm,20700.0,4.315970345456917,1
7201,jstet_25528,Aaron Lauritsen,,Aaron Lauritsen,"It's in those quiet little towns, at the edge of the world, that you will find the salt of the earth people who make you feel right at home.",30,white,male,llm,llm,17500.0,4.243038048686294,9
7207,jstet_30045,Aaron Lauritsen,,Aaron Lauritsen,"Be a team player, not a bandwagon jumper.",8,white,male,llm,llm,17500.0,4.243038048686294,9
7203,jstet_30038,Aaron Lauritsen,,Aaron Lauritsen,"From this point forward, you don’t even know how to quit in life.”~ Aaron Lauritsen, ‘100 Days Drive",19,white,male,llm,llm,17500.0,4.243038048686294,9
7208,jstet_30064,Aaron Lauritsen,,Aaron Lauritsen,"There is strange comfort in knowing that no matter what happens today, the Sun will rise again tomorrow.",18,white,male,llm,llm,17500.0,4.243038048686294,9
7200,jstet_25527,Aaron Lauritsen,,Aaron Lauritsen,Those who achieve the extraordinary are usually the most ordinary because they have nothing to prove to anybody. Be Humble.,20,white,male,llm,llm,17500.0,4.243038048686294,9
