,quote_id,author_clean,author_alt_name,author_raw,quote,quote_words,race,gender,gender_source,race_source,google_hits,log10_hits,to_sample
2839,jstet_414960,A. Eustace Haydon,,A. Eustace Haydon,Fortunately for serious minds a bias recognized is a bias sterilized.,11,white,male,wikidata,llm,5780.0,3.761927838420529,1
2842,jstet_422200,A. J. Cronin,,A. J. Cronin,Worry never robs tomorrow of its sorrow but only saps today of its strength.,14,white,male,wikidata,llm,233000.0,5.367355921026019,1
967,jstet_498162,A. Philip Randolph,,A. Philip Randolph,Freedom is never granted it is won.,7,black,male,wikidata,llm,242000.0,5.383815365980431,4
1871,jstet_52625,A.L. Michael,,A.L. Michael,You stayed because you’d invested so much time in your relationship that it would be a waste to walk away.,21,white,female,llm,llm,125000.0,5.096910013008056,1
2845,jstet_183416,Aaron Carter,,Aaron Carter,"Having a dream, living that dream, losing that dream, dreaming again and then having that dream come true again is one of the greatest feelings ever because I`m stronger.",30,white,male,wikidata,llm,1220000.0,6.086359830674748,1
2846,jstet_234923,Aaron Crabill,,Aaron Crabill,You’d have been scared too if that big troglodyte had put his hands on you. He smelled like dirty socks and store brand cola.” Chet Andrews,27,white,male,llm,llm,1730.0,3.2380461031287955,1
2847,jstet_234084,Aaron Dries,,Aaron Dries,This isn’t how things were supposed to happen. I was supposed to be me. Not this.,17,white,male,llm,llm,28400.0,4.453318340047038,1
2848,jstet_437988,Aaron Huey,,Aaron Huey,Your belief system saturates the space around you.,8,white,male,wikidata,llm,20700.0,4.315970345456917,1
975,jstet_492383,Aaron Neville,,Aaron Neville,I write poetry on my iPhone. I've got about 100 poems on there.,14,black,male,wikidata,llm,495000.0,5.694605198933568,8
1872,jstet_137355,Abby Green,,Abby Green,"I wanted to do this properly, but I look at you and I forget...",14,white,female,wikidata,llm,387000.0,5.587710965018911,1
977,jstet_166634,Abdourahman A. Waberi,,Abdourahman A. Waberi,"In your opinion, where do private and political life, personal history and History meet? You know the answer, Maya. You say it unhesitatingly - in art and literature.",27,black,male,wikidata,llm,49600.0,4.695482,1
1873,jstet_350757,Abigail Brown,,Abigail Brown,"It is my belief that love dies from overuse, and the heart dies from a lack of interest in life without it.",22,white,female,wikidata,llm,139000.0,5.143014800254095,1
1874,jstet_453155,Abigail Johnson,,Abigail Johnson,"Blockchain technology isn't just a more efficient way to settle securities. It will fundamentally change market structures, and maybe even the architecture of the Internet itself.",27,white,female,wikidata,llm,612000.0,5.786751422145561,1
1877,jstet_114545,Ada Calhoun,,Ada Calhoun,"...there is so much beauty in the trying, and in the failing, and in the trying again.",17,white,female,wikidata,llm,33400.0,4.523746466811565,9
1887,jstet_442525,Ada Lovelace,,Ada Lovelace,"The science of operations, as derived from mathematics more especially, is a science of itself, and has its own abstract truth and value.",23,white,female,wikidata,wikidata,4750000.0,6.676693609624866,4
2850,jstet_192252,Adam Bryant,,Adam Bryant,"People leave companies for two reasons. One, they don't feel appreciated. And two, they don't get along with their boss.",22,white,male,wikidata,llm,791000.0,5.898176483497677,1
2852,jstet_446522,Adam Clarke,,Adam Clarke,"He who is completely sanctified, or cleansed from all sin, and dies in this state, is fit for glory.",19,white,male,wikidata,llm,615000.0,5.788875115775417,2
978,jstet_86893,Adam Clayton Powell III,,Adam Clayton Powell III,I try to make my comments like a woman's skirt: long enough to be respectable and short enough to be interesting.,22,black,male,wikidata,llm,18700.0,4.271842,1
2853,jstet_254472,Adam Gellert,,Adam Gellert,What I have always found amazing is that God can use our bad choices to still get us right where He intended us to be.,25,white,male,llm,llm,8410.0,3.924795995797912,1
2854,jstet_266278,Adam Hargreaves,,Adam Hargreaves,"Getting fit is all about mind over matter. I don't mind, so it doesn't matter.",17,white,male,wikidata,llm,145000.0,5.161368002234975,1
2857,jstet_182875,Adam Haslett,,Adam Haslett,"...I did what most kids do when their world feels destroyed. I tried to care less about what remained...This was untrue, of course.",24,white,male,wikidata,llm,47200.0,4.673941998634088,4
2859,jstet_366510,Adam Mickiewicz,,Adam Mickiewicz,"I and motherland are one. My name is Million, because for millions do I love and suffer agonies.",18,white,male,wikidata,wikidata,2140000.0,6.330413773349191,1
1889,jstet_325297,Adela Knight,,Adela Knight,"I haven’t been with anyone since my break-up with Jackass. Yes, Jackass is his name. Officially.",18,white,female,llm,llm,2450.0,3.3891660843645326,1
1890,jstet_418714,Adelaide A. Proctor,,Adelaide A. Proctor,No star is ever lost we once have seen We always may be what we might have been.,18,white,female,llm,llm,8440.0,3.926342446625655,1
2860,jstet_380401,Adelbert von Chamisso,,Adelbert von Chamisso,I am a solitary wave in the dark and desolate sea: and the sparkling glass I drank was drugged with misery.,21,white,male,wikidata,llm,505000.0,5.703291378118662,1
1891,jstet_112223,Adele Adkins,,Adele Adkins,"Sometimes it lasts in love, But sometimes it hurts instead",10,white,female,wikidata,llm,470000.0,5.672097857935717,1
1892,jstet_207720,Adelheid Manefeldt,,Adelheid Manefeldt,"He lived a quiet existence where the future was easy to predict and the past was a cancer in remission. It was meaningful, of course. But it was lonely.",29,white,female,llm,llm,2120.0,3.326335860928751,1
1893,jstet_97118,Admiral Grace Hopper,,Admiral Grace Hopper,"You manage things, you lead people.",6,white,female,llm,llm,61100.0,4.786041210242554,1
2861,jstet_328718,Adolph Hitler,,Adolph Hitler,We tolerate no one in our ranks who attacks the ideas of Christianity … in fact our movement is Christian.,19,white,male,wikidata,llm,869000.0,5.939019776448666,1
