,quote_id,author_clean,author_alt_name,author_raw,quote,quote_words,race,gender,gender_source,race_source,google_hits,log10_hits,to_sample
7254,jstet_486588,A. Bartlett Giamatti,,A. Bartlett Giamatti,"A liberal education is at the heart of a civil society, and at the heart of a liberal education is the act of teaching.",24,white,male,wikidata,llm,89200.0,4.950364854376123,1
7255,jstet_414960,A. Eustace Haydon,,A. Eustace Haydon,Fortunately for serious minds a bias recognized is a bias sterilized.,11,white,male,wikidata,llm,5780.0,3.761927838420529,1
7256,jstet_400632,A. Lawrence Lowell,,A. Lawrence Lowell,The freshmen bring a little knowledge in and the seniors take none out so it accumulates through the years.,19,white,male,wikidata,llm,44000.0,4.643452676486188,1
7257,jstet_149930,A. Nicholas Groth,,A. Nicholas Groth,"When a person feels powerless in regard to controlling his life, he can defend against the discomfort of such an experience by asserting control over someone else.",27,white,male,llm,llm,7340.0,3.865696059916071,1
7258,jstet_411608,A. T. Mercier,,A. T. Mercier,The only way to the top is by persistent intelligent hard work.,12,white,male,llm,llm,78100.0,4.8926510338773,1
7260,jstet_401574,A. W. Hare,,A. W. Hare,Half the failures in life come from pulling one's horse in when he is leaping.,16,white,male,llm,llm,13900.0,4.143014800254095,2
7259,jstet_398304,A. W. Hare,,A. W. Hare,A Christian is God Almighty's gentleman.,7,white,male,llm,llm,13900.0,4.143014800254095,2
6429,jstet_88581,A.C. Crispin,,A.C. Crispin,"Remember that on any world the wind eventually wears away the stone, because the stone can only crumble; the wind can change.",22,white,female,wikidata,llm,48900.0,4.68930885912362,1
5067,jstet_121845,A.J. Arias,,A.J. Arias,"Trust no one,"" said Sullivan, ""especially Teachers.",7,latino,male,llm,llm,18200.0,4.260071,1
5074,jstet_194075,A.J. Garces,,A.J. Garces,"At the bottom of the human well, there should always be a candle of compassion.",15,latino,male,llm,llm,20700.0,4.315970345456917,4
5070,jstet_56035,A.J. Garces,,A.J. Garces,"As America slept, our constitutional quilt was slowly being unraveled by special interest... I hope you like the cold.",19,latino,male,llm,llm,20700.0,4.315970345456917,4
5069,jstet_56012,A.J. Garces,,A.J. Garces,Beware of those who speak ill of others in your presence don't be surprised of what they say about you in your absence.,24,latino,male,llm,llm,20700.0,4.315970345456917,4
5071,jstet_56059,A.J. Garces,,A.J. Garces,Beware of those who speak ill of others in your presence.....don't be surprised of what they say in your absence.,22,latino,male,llm,llm,20700.0,4.315970345456917,4
7261,jstet_153277,A.J. Quinnell,,A.J. Quinnell,Hunger and necessity are poor teachers of morality. A society that cannot provide the basics of life does not get its laws obeyed.,23,white,male,wikidata,llm,74600.0,4.872738827472669,1
6430,jstet_52625,A.L. Michael,,A.L. Michael,You stayed because you’d invested so much time in your relationship that it would be a waste to walk away.,21,white,female,llm,llm,125000.0,5.096910013008056,1
