,quote_id,author_clean,author_alt_name,author_raw,quote,quote_words,race,gender,gender_source,race_source,google_hits,log10_hits,to_sample
2824,jstet_486588,A. Bartlett Giamatti,,A. Bartlett Giamatti,"A liberal education is at the heart of a civil society, and at the heart of a liberal education is the act of teaching.",24,white,male,wikidata,llm,89200.0,4.950364854376123,1
2825,jstet_400632,A. Lawrence Lowell,,A. Lawrence Lowell,The freshmen bring a little knowledge in and the seniors take none out so it accumulates through the years.,19,white,male,wikidata,llm,44000.0,4.643452676486188,1
2521,jstet_88581,A.C. Crispin,,A.C. Crispin,"Remember that on any world the wind eventually wears away the stone, because the stone can only crumble; the wind can change.",22,white,female,wikidata,llm,48900.0,4.68930885912362,1
2522,jstet_52625,A.L. Michael,,A.L. Michael,You stayed because you’d invested so much time in your relationship that it would be a waste to walk away.,21,white,female,llm,llm,125000.0,5.096910013008056,1
304,jstet_224109,Aakash Deep,,Aakash Deep,"Everything is uncomfortable for the first time: School, Smoking or Sex.",11,asian,male,llm,llm,118000.0,5.071882,1
2826,jstet_363543,Aaron Burr Jr.,,Aaron Burr Jr.,To the union of all honest men.,7,white,male,wikidata,llm,17300.0,4.238046103128795,1
1209,jstet_492383,Aaron Neville,,Aaron Neville,I write poetry on my iPhone. I've got about 100 poems on there.,14,black,male,wikidata,llm,495000.0,5.694605198933568,8
2827,jstet_319949,Aaronovitch Ben,,Aaronovitch Ben,It’s a good thing that the sheep are all so law abiding,13,white,male,llm,llm,424000.0,5.627365856592733,1
0,jstet_70797,Aayushi Jain,,Aayushi Jain,Your Presentation is Your Capability.,5,asian,female,llm,llm,114000.0,5.056905,1
2036,jstet_64440,Abelardo Morell,,Abelardo Morell,"At times, I have been convinced that books hold all the material of life--at least all the stuff that fits between an A and a Z.",27,latino,male,wikidata,llm,122000.0,5.08636,1
1213,jstet_10649,Aberjhani,,Aberjhani,You were born a child of light’s wonderful secret— you return to the beauty you have always been.,19,black,male,wikidata,llm,39400.0,4.595496221825574,10
310,jstet_394665,Abhijit Kar Gupta,,Abhijit Kar Gupta,Wish and Wisdom are pals. Wisdom consoles at the fall of Wish and Wish cheers up when Wisdom is at wrong foot!,22,asian,male,llm,llm,9170.0,3.962369335670021,4
313,jstet_273655,Abhishek jadaun,,Abhishek jadaun,Single hand for help is better than thousands hands of prayer.,11,asian,male,llm,llm,4440.0,3.647383,2
311,jstet_50955,Abhishek Mishra,,Abhishek Mishra,"College is not important, knowledge is",6,asian,male,wikidata,llm,2820000.0,6.450249,1
2523,jstet_343968,Abigail Baker,,Abigail  Baker,"He gripped me so tightly our hips pressed together, forcing me onto my toes for balance. For several moments, we stared, exchanging nothing but blinks to brush away the rain.",30,white,female,llm,llm,76500.0,4.883661435153618,1
2524,jstet_350757,Abigail Brown,,Abigail Brown,"It is my belief that love dies from overuse, and the heart dies from a lack of interest in life without it.",22,white,female,wikidata,llm,139000.0,5.143014800254095,1
2525,jstet_157732,Abigail Padgett,,Abigail Padgett,"I like having options, alternate lives unlived but always possible.",10,white,female,wikidata,llm,15400.0,4.187520720836463,1
2526,jstet_164699,Abigail Strom,,Abigail Strom,Don't look backwards. That never does any good. Think about the future instead.,14,white,female,llm,llm,12200.0,4.086359830674748,1
1221,jstet_86893,Adam Clayton Powell III,,Adam Clayton Powell III,I try to make my comments like a woman's skirt: long enough to be respectable and short enough to be interesting.,22,black,male,wikidata,llm,18700.0,4.271842,1
2829,jstet_377713,Adam Nicolson,,Adam Nicolson,The 19th century had chosen only to remember the happy warrior. The 20th century only the blood come gargling. Both are essential to any understanding of Trafalgar.,27,white,male,wikidata,llm,92300.0,4.965201701025912,2
2832,jstet_364416,Adam Roberts,,Adam Roberts,"Not where he eats, but where he is eaten’?” He laughed again. “Racine has his moments, sure, but you can’t beat Shakespeare for the really grisly stuff.",28,white,male,wikidata,llm,485000.0,5.685741738602264,2
